HYPONYM|HYPERNYM|TEXT|LINK		
ПАПЕРТЬ|внешний притвор|Паперть — непокрытая кровлей площадка перед внутренним притвором храма, на которой в первые века христианства стояли плачущие и кающиеся. |https://ru.wikipedia.org/wiki/Паперть		
ПАПЕРТЬ|площадка перед церковью|Паперть — площадка перед церковью и крыльцо.|http://window.edu.ru/catalog/pdf2txt/568/25568/8463?p_page=21		
ПАПЕРТЬ|церковное крыльцо|Паперть — церковное крыльцо, площадка перед входом в церковь.|https://slovar.cc/rus/ushakov/426566.html		
ПАПЕРТЬ|крытая площадка|Паперть — крытая площадка перед входом в церковь.|https://how-to-all.com/значение:паперть		
ПАПЕРТЬ|закрытая площадка|Паперть — закрытая площадка перед входом в церковь .|http://drevne-rus-lit.niv.ru/drevne-rus-lit/text/o-zhitii-mihaila-klopskogo/o-zhitii-mihaila-klopskogo-original.htm		
ПАРАБЕЛЛУМ|род пистолета|Парабеллум — род автоматического скорострельного пистолета.|https://поискслов.рф/wd/парабеллум		
ПАРАБЕЛЛУМ|самозарядный пистолет|Парабеллум — автоматический самозарядный пистолет Георга Люгера, более известный под названием «Парабеллум» (от лат. Para bellum — готовься к войне), стал легендарным немецким оружием начала XX века.|https://militaryarms.ru/oruzhie/pistolety/parabellum/		
ПАРАБЕЛЛУМ|оружие|Парабеллум — германский пистолет, о котором слышали многие, оружие, по праву ставшее символом немецкого пистолета первой половины двадцатого века. |https://topwar.ru/3494-legendarnyj-parabellum.html		
ПАРАБЕЛЛУМ|пистолет|Парабеллум — пистолет, разработанный в 1900 году Георгом Люгером для вооружения германской армии.|https://kartaslov.ru/значение-слова/парабеллум		
ПАРАБЕЛЛУМ|огнестрельное оружие|Парабеллум — это название ручного огнестрельного оружия, созданного немецким конструктором Г. Люгером, образованов конце XIX в. Искусственно из латинских слов para bellum, означающих ""готовься к войне"".|https://krylov.academic.ru/2505"		
ПАРАЗИТОЛОГИЯ|биологическая наука|Паразитология — биологическая наука, изучающая явление паразитизма, биологию и экологию паразитов, а также вызываемые ими заболевания и меры борьбы с паразитами|https://ru.wikipedia.org/wiki/Паразитология		
